authour,category,date,push,title,url
ti25,9,10/14,17,趣味   PNC 陳 彥衡   吹音樂 專訪,/bbs/Hip-Hop/M.1571062086.A.60E.html
zzzz12zz,7, 9/27,5,創作   自己 做 beatLeo   Wang   Type   beat,/bbs/Hip-Hop/M.1569516991.A.866.html
isolatenicky,3, 9/27,4,音樂   睡不著,/bbs/Hip-Hop/M.1569528141.A.C54.html
ap15021,6,10/13,65,問題   為 什麼 高爾宣 被 黑 這麼慘,/bbs/Hip-Hop/M.1570939154.A.942.html
ChihChih7,5,10/04,7,討論   十年   滿人   蛋堡   荊軻 youtube 被 刪 了,/bbs/Hip-Hop/M.1570201073.A.AB0.html
hugh60206,3,10/05,39,音樂   鄭宜農   ft 陳 嫺 靜   街仔路 雨 落袂 停,/bbs/Hip-Hop/M.1570204939.A.34A.html
tihs104,3,10/05,24,音樂   咱們 吳霏   王浚羽   聲林 之王,/bbs/Hip-Hop/M.1570239796.A.563.html
sclbtlove,3,10/15,12,音樂   Zoe   The   Chef       包莖 天,/bbs/Hip-Hop/M.1571074087.A.59A.html
mhfo3035,6,10/15,13,問題   塑膠 remix 為 什麼 熱度 這麼 低,/bbs/Hip-Hop/M.1571114480.A.FA8.html
brad0625,3,10/15,14,音樂   Juice   Boy   Diss,/bbs/Hip-Hop/M.1571115467.A.E11.html
kevinchang99,4,10/15,1,活動 陳 小律   嘻哈宅 錄人聲 處理線 上 課程,/bbs/Hip-Hop/M.1571136301.A.D08.html
brad0625,3,10/15,2,音樂   松農嘻研   Cypher,/bbs/Hip-Hop/M.1571136443.A.535.html
MrNoproblem,3, 9/27,22,音樂   KeyL   Hey   Kong   現場 版,/bbs/Hip-Hop/M.1569543452.A.71C.html
vic9503,6, 9/27,11,問題   帥帥 的 眼鏡 要 去 哪裡 才 買 的 到 呢,/bbs/Hip-Hop/M.1569544843.A.51E.html
nKH0734,5, 9/27,19,討論   夜貓 組 TICC 演唱 會 歌單 許願,/bbs/Hip-Hop/M.1569564746.A.E0F.html
chunx2,3, 9/27,43,音樂   OZI   x   VOGUEWhos   Next,/bbs/Hip-Hop/M.1569567960.A.E89.html
